erezaugtanẽpo	ere zaugt anẽ po
seredʒuɲ	se redʒu ɲ
zaidu	za idu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	no idu dʒi so
sidʒaorehe	si dʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔe pɨhɨg a
matɨsipo	ma tɨ sipo
erepotaneso	ere pota ne so
ikotɨ	i kotɨ
ɨwɨrupi	ɨ wɨ rupi
tu	tu
ipope	i pope
maziʔog	ma ziʔog
ozemim	oze m im
ekojaram	e kojar am
ibaridʒate	i baridʒa te
ʔog	ʔog
opoanba	o poanba
zomãʔẽnanhar	zo mãʔẽ nan har
derapɨdʒ	de rapɨdʒ
erenũpã	ere nũpã
otui	o tui
pegotɨ	pe gotɨ
sipaʔam	si paʔ am
tepedʒapɨakaõwã	tepe dʒapɨaka õwã
tapiʔirarehe	tapiʔi r arehe
odʒapɨakamãʔẽ	o dʒapɨaka mãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	a ʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽ ʔe
iawu	i awu
oʔararehe	o ʔar arehe
apotar	a po tar
sə	sə
dokte	do k te
nãsĩʔõ	nãsĩ ʔõ
tuʔum	tu ʔum
zetɨg	ze tɨ g
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	te re sĩ
zapɨhɨpa	za pɨhɨpa
nõde	nõ de
imõdo	i mõd o
iwɨb	i wɨb
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	o kuru kaga rupi
aʔereiba	a ʔe reiba
datikatu	da ti katu
eibawe	e iba we
kaʔi	ka ʔi
itawa	i ta wa
ipurite	i puri te
iawuŋ	i awu ŋ
aʔepori	a ʔe pori
orekʷar	o rekʷar
wɨɲanẽ	wɨɲ a nẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨanam ara
amãʔẽ	a mãʔẽ
aiɲuŋokar	a iɲuŋ okar
odʒakaʔar	o dʒa kaʔar
zarate	zar ate
kija	kija
kotɨ	kotɨ
watekotɨ	wate kotɨ
nipẽrehe	ni pẽ rehe
dizeraʔenawe	di zeraʔe nawe
ozoka	o zoka
ikotɨŋ	i kotɨ ŋ
duʔauhu	duʔa uhu
deradʒɨr	de radʒɨr
ekuʔi	e kuʔi
oʔureʔeɲ	o ʔur eʔe ɲ
pekuar	pe kuar
wane	wa ne
wai	wai
tazepir	ta zepi r
pasiʔɨrehedʒira	pa siʔɨ rehe dʒi ra
tɨkadɨr	tɨ kadɨr
zapuru	za pu ru
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	i baʔe raɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒa so r
mais	ma is
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	o no nan
nanimãʔẽra	nan i mãʔẽ ra
dobaʔepakatudʒi	do baʔe pakatu dʒi
aotar	a o tar
ozeɨruʔog	oze ɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨaka õwã
apamaʔewi	apama ʔe wi
wanekuwa	wa ne kuwa
zotunaʔɨɲate	zo tu naʔɨɲ ate
nõderapɨdʒam	nõde rapɨdʒ am
amõ	a mõ
tapug	ta pu g
oanõ	o a nõ
eiba	e iba
disimãʔẽɲi	di si mãʔẽ ɲi
idʒeenam	i dʒe enam
sidʒewɨranam	si dʒe wɨra nam
onaʔaŋtar	o na ʔaŋ tar
tekoam	te ko am
waɨ	wa ɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	o kaʔar okar
demõdate	de mõd ate
puri	puri
zaikonam	za iko nam
erapɨdʒape	e rapɨdʒ ape
aporoekar	a poro ekar
oapɨgeʔeo	o apɨg eʔe o
nõderapɨdʒapope	nõde rapɨdʒ a pope
ozaʔogoŋ	o zaʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔe kom ara i kʷara ru pawəra rehe ʔe
baʔe	baʔe
oapɨgo	o apɨg o
nõdutari	nõdu tari
bodʒuhukomãhã	bodʒ uhu kom ãhã
baʔekom	baʔe kom
ererekʷar	ere rekʷar
peotar	pe o tar
nõdeapisitanẽ	nõde apisita nẽ
apamaʔesiparate	apama ʔe sipa ra te
airuɲmãʔẽ	a iru ɲ mãʔẽ
dzewaka	dze waka
sĩ	sĩ
sikədʒi	si kə dʒi
nõderaɨhɨpadʒira	nõde raɨhɨpa dʒi ra
edʒɨawe	e dʒɨ awe
azewirtar	aze wir tar
eakã	e akã
ba	ba
