erezaugtanẽpo	ere zaugta nẽpo
matɨsipo	ma tɨ sipo
erepotaneso	ere pota neso
ikotɨ	i kotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	i pope
maziʔog	ma ziʔog
ozemim	oze mim
ekojaram	e kojara m
ibaridʒate	i baridʒa te
ʔog	ʔog
opoanba	o poanba
zomãʔẽnanhar	zo mãʔẽ nan har
derapɨdʒ	de rapɨdʒ
erenũpã	ere nũpã
otui	o tui
pegotɨ	pe gotɨ
sipaʔam	si paʔam
tepedʒapɨakaõwã	tepe dʒapɨaka õwã
tapiʔirarehe	tapi ʔi rarehe
odʒapɨakamãʔẽ	o dʒapɨaka mãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	a ʔe nam
aʔegotɨnẽʔe	a ʔe gotɨnẽʔe
iawu	i awu
oʔararehe	o ʔara rehe
apotar	a potar
sə	sə
dokte	do k te
nãsĩʔõ	nãsĩʔõ
tuʔum	tuʔu m
zetɨg	ze tɨ g
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	te re sĩ
zapɨhɨpa	za pɨhɨpa
nõde	nõ de
imõdo	i mõd o
iwɨb	i wɨb
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	o kuru kagarupi
aʔereiba	a ʔe reiba
datikatu	da ti katu
eibawe	e iba we
kaʔi	kaʔi
itawa	i ta wa
ipurite	i puri te
iawuŋ	i awu ŋ
aʔepori	a ʔe pori
orekʷar	o rekʷar
wɨɲanẽ	wɨ ɲa nẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨ a namara
amãʔẽ	a mãʔẽ
aiɲuŋokar	a iɲuŋ okar
odʒakaʔar	o dʒaka ʔar
zarate	zar ate
kija	kija
kotɨ	kotɨ
watekotɨ	wate kotɨ
nipẽrehe	ni pẽ rehe
dizeraʔenawe	dize raʔe nawe
ozoka	o zoka
ikotɨŋ	i kotɨ ŋ
duʔauhu	du ʔa uhu
deradʒɨr	de radʒ ɨr
ekuʔi	e kuʔi
oʔureʔeɲ	o ʔur eʔeɲ
pekuar	pe kuar
wane	wa ne
wai	wa i
tazepir	taze pir
pasiʔɨrehedʒira	pasi ʔɨ rehedʒira
tɨkadɨr	tɨka dɨr
zapuru	za puru
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	i baʔeraɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒa so r
mais	ma is
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	ono nan
nanimãʔẽra	nani mãʔẽra
dobaʔepakatudʒi	do baʔe pakatudʒi
aotar	a o tar
ozeɨruʔog	oze ɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨaka õwã
apamaʔewi	apama ʔe wi
wanekuwa	wa ne kuwa
zotunaʔɨɲate	zo tunaʔɨɲ ate
nõderapɨdʒam	nõde rapɨdʒ am
amõ	a mõ
tapug	ta pug
oanõ	oa nõ
eiba	e iba
disimãʔẽɲi	di si mãʔẽɲi
idʒeenam	i dʒe enam
sidʒewɨranam	si dʒewɨra nam
onaʔaŋtar	o naʔaŋ tar
tekoam	teko am
waɨ	wa ɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	o kaʔar okar
demõdate	de mõd ate
puri	puri
zaikonam	za iko nam
erapɨdʒape	e rapɨdʒ ape
aporoekar	aporo ekar
oapɨgeʔeo	o apɨg eʔeo
nõderapɨdʒapope	nõde rapɨdʒ apope
ozaʔogoŋ	o zaʔog oŋ
aʔekomaraikʷararupawərareheʔe	a ʔe kom a raikʷara rupa wəra reheʔe
baʔe	baʔe
oapɨgo	o apɨg o
nõdutari	nõdu tari
bodʒuhukomãhã	bo dʒ uhukom ãhã
baʔekom	baʔe kom
ererekʷar	ere rekʷar
peotar	pe o tar
nõdeapisitanẽ	nõde apisita nẽ
apamaʔesiparate	apama ʔe si par ate
airuɲmãʔẽ	a iru ɲmãʔẽ
dzewaka	dze waka
sĩ	sĩ
sikədʒi	si kə dʒi
nõderaɨhɨpadʒira	nõde raɨhɨ padʒira
edʒɨawe	e dʒɨ awe
azewirtar	aze wir tar
eakã	eakã
ba	ba
