erezaugtanẽpo	ere zaug tanẽpo
noidudʒiso	no idu dʒiso
sidʒaorehe	sidʒa o rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔep ɨhɨga
matɨsipo	ma tɨ sipo
erepotaneso	erepo ta neso
ikotɨ	i kotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	ipo pe
maziʔog	ma zi ʔog
ozemim	oze mi m
ekojaram	eko ja ram
ibaridʒate	ibari dʒa te
ʔog	ʔo g
opoanba	o po anba
zomãʔẽnanhar	zo mãʔẽ nanhar
derapɨdʒ	de ra pɨdʒ
erenũpã	e re nũpã
otui	o tu i
pegotɨ	pe gotɨ
sipaʔam	si paʔ am
tepedʒapɨakaõwã	tepedʒa pɨ akaõwã
tapiʔirarehe	tapi ʔi rarehe
odʒapɨakamãʔẽ	odʒapɨaka mãʔẽ
dokuwadʒi	doku wa dʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽʔe
iawu	i awu
oʔararehe	o ʔar arehe
apotar	a po tar
sə	sə
dokte	do kte
nãsĩʔõ	nã sĩ ʔõ
tuʔum	tu ʔu m
zetɨg	ze tɨ g
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	tere sĩ
zapɨhɨpa	za pɨ hɨpa
nõde	nõ de
imõdo	i mõd o
iwɨb	iwɨ b
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	o kuru kagarupi
aʔereiba	aʔe reiba
datikatu	da ti katu
eibawe	e iba we
kaʔi	ka ʔi
itawa	ita wa
ipurite	ipu ri te
iawuŋ	i awu ŋ
aʔepori	aʔe pori
orekʷar	ore kʷar
wɨɲanẽ	wɨ ɲa nẽ
zokarakurikom	zokaraku ri kom
pɨanamara	pɨa nam ara
amãʔẽ	a mãʔẽ
aiɲuŋokar	a iɲuŋ okar
odʒakaʔar	o dʒa kaʔar
zarate	zar ate
kija	kij a
kotɨ	kotɨ
watekotɨ	wate kotɨ
nipẽrehe	ni pẽ rehe
dizeraʔenawe	dize ra ʔenawe
ozoka	o zo ka
ikotɨŋ	i kotɨ ŋ
duʔauhu	du ʔauhu
deradʒɨr	de ra dʒɨr
ekuʔi	eku ʔi
oʔureʔeɲ	o ʔur eʔeɲ
pekuar	peku a r
wane	wane
wai	wa i
tazepir	taze pir
pasiʔɨrehedʒira	pasi ʔɨ rehedʒira
tɨkadɨr	tɨ kadɨr
zapuru	zapu ru
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	ibaʔera ɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒa sor
mais	mai s
ehekom	ehe kom
tazaugpanane	ta zaug panane
ononan	ono nan
nanimãʔẽra	nani mãʔẽ ra
dobaʔepakatudʒi	dobaʔe pa katudʒi
aotar	ao tar
ozeɨruʔog	oze ɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	sidʒa pɨ akaõwã
apamaʔewi	apamaʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zotunaʔɨ ɲ ate
nõderapɨdʒam	nõde ra pɨdʒam
amõ	amõ
tapug	ta pu g
oanõ	oanõ
eiba	e iba
disimãʔẽɲi	disi mãʔẽ ɲi
idʒeenam	idʒe e nam
sidʒewɨranam	sidʒewɨra nam
onaʔaŋtar	ona ʔa ŋtar
tekoam	teko am
waɨ	wa ɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	oka ʔar okar
demõdate	de mõd ate
puri	pu ri
zaikonam	za iko nam
erapɨdʒape	e ra pɨdʒape
aporoekar	aporo e kar
oapɨgeʔeo	o apɨg eʔeo
nõderapɨdʒapope	nõde ra pɨdʒapope
ozaʔogoŋ	o za ʔogoŋ
aʔekomaraikʷararupawərareheʔe	aʔekomarai kʷar arupawərareheʔe
baʔe	baʔe
oapɨgo	o apɨg o
nõdutari	nõ du tari
bodʒuhukomãhã	bodʒ uhukomãhã
baʔekom	baʔe kom
ererekʷar	erere kʷar
peotar	pe o tar
nõdeapisitanẽ	nõdeapisi ta nẽ
apamaʔesiparate	apamaʔesipa ra te
airuɲmãʔẽ	a iru ɲmãʔẽ
dzewaka	dzewa ka
sĩ	sĩ
sikədʒi	si kə dʒi
nõderaɨhɨpadʒira	nõde raɨhɨ padʒira
edʒɨawe	edʒ ɨa we
azewirtar	aze wir tar
eakã	eakã
ba	ba
