erezaugtanẽpo	ere zaug tanẽpo
maziʔog	ma ziʔog
ozemim	oze mi m
ekojaram	e kojar am
ibaridʒate	i baridʒa te
ʔog	ʔog
opoanba	o poanba
zomãʔẽnanhar	zomãʔẽ nan har
derapɨdʒ	de rapɨdʒ
erenũpã	ere nũpã
otui	otui
pegotɨ	pe gotɨ
sipaʔam	si paʔa m
tepedʒapɨakaõwã	tepe dʒapɨak aõwã
tapiʔirarehe	ta piʔir arehe
odʒapɨakamãʔẽ	o dʒapɨak amãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽ ʔe
iawu	i awu
oʔararehe	o ʔar arehe
apotar	a potar
sə	sə
dokte	do k te
nãsĩʔõ	nã sĩ ʔõ
tuʔum	tuʔu m
zetɨg	ze tɨg
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	tere sĩ
zapɨhɨpa	za pɨhɨpa
nõde	nõ de
imõdo	i mõd o
iwɨb	i wɨb
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	o kurukaga rupi
aʔereiba	aʔe reiba
datikatu	datika tu
eibawe	e iba we
kaʔi	ka ʔi
itawa	i tawa
ipurite	i puri te
iawuŋ	i awu ŋ
aʔepori	aʔe pori
orekʷar	o rekʷar
wɨɲanẽ	wɨɲa nẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨ anam a ra
amãʔẽ	a mãʔẽ
aiɲuŋokar	a iɲuŋ okar
odʒakaʔar	o dʒaka ʔar
zarate	zar ate
kija	kija
kotɨ	kotɨ
watekotɨ	wate kotɨ
nipẽrehe	nipẽ rehe
dizeraʔenawe	di zeraʔe nawe
ozoka	o zo ka
ikotɨŋ	i kotɨ ŋ
duʔauhu	du ʔa uhu
deradʒɨr	dera dʒɨ r
ekuʔi	e ku ʔi
oʔureʔeɲ	oʔur eʔe ɲ
pekuar	pe kuar
wane	wane
wai	wa i
tazepir	ta zepir
pasiʔɨrehedʒira	pasiʔɨ rehe dʒi ra
tɨkadɨr	tɨkadɨ r
zapuru	za puru
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	i baʔeraɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒasor
mais	mais
ehekom	ehe kom
tazaugpanane	ta zaug pa nane
ononan	o no nan
nanimãʔẽra	nani mãʔẽ ra
dobaʔepakatudʒi	do baʔe pakatu dʒi
aotar	a o tar
ozeɨruʔog	oze ɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨak aõwã
apamaʔewi	apamaʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zo tunaʔɨɲ ate
nõderapɨdʒam	nõde rapɨdʒ am
amõ	a mõ
tapug	ta pug
oanõ	o anõ
eiba	e iba
disimãʔẽɲi	disi mãʔẽ ɲi
idʒeenam	idʒe enam
sidʒewɨranam	sidʒe wɨra nam
onaʔaŋtar	o naʔaŋ tar
tekoam	teko am
waɨ	waɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	o kaʔar okar
demõdate	de mõd ate
puri	puri
zaikonam	za iko nam
erapɨdʒape	e rapɨdʒ ape
aporoekar	a poro ekar
oapɨgeʔeo	o apɨg eʔe o
nõderapɨdʒapope	nõde rapɨdʒ a pope
ozaʔogoŋ	o zaʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔekomaraikʷara rupawəra rehe ʔe
baʔe	baʔe
oapɨgo	o apɨg o
nõdutari	nõdu tari
bodʒuhukomãhã	bodʒuhu kom ãhã
baʔekom	baʔe kom
ererekʷar	ere rekʷar
peotar	pe o tar
nõdeapisitanẽ	nõde a pisita nẽ
apamaʔesiparate	apamaʔe sipar ate
airuɲmãʔẽ	a iru ɲ mãʔẽ
dzewaka	dzewa ka
sĩ	sĩ
sikədʒi	sikə dʒi
nõderaɨhɨpadʒira	nõde raɨhɨpa dʒi ra
edʒɨawe	e dʒɨ awe
azewirtar	aze wir tar
eakã	eakã
ba	b a
