erezaugtanẽpo	erezaug tanẽ po
pegotɨ	pe gotɨ
sipaʔam	si paʔam
tepedʒapɨakaõwã	te pe dʒapɨaka õwã
tapiʔirarehe	tapiʔir arehe
odʒapɨakamãʔẽ	o dʒapɨaka mãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽ ʔe
iawu	iawu
oʔararehe	o ʔa rarehe
apotar	a po tar
sə	sə
dokte	d ok te
nãsĩʔõ	nã sĩʔõ
tuʔum	tu ʔum
zetɨg	ze tɨg
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	tere sĩ
zapɨhɨpa	za pɨhɨpa
nõde	nõde
imõdo	i mõdo
iwɨb	i wɨb
kukupope	kuku pope
adʒu	adʒu
okurukagarupi	okurukaga rupi
aʔereiba	aʔe reiba
datikatu	dati katu
eibawe	eiba we
kaʔi	ka ʔi
itawa	i tawa
ipurite	ipuri te
iawuŋ	iawu ŋ
aʔepori	aʔe pori
orekʷar	orekʷar
wɨɲanẽ	wɨɲa nẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨanam ara
amãʔẽ	amãʔẽ
aiɲuŋokar	aiɲuŋ okar
odʒakaʔar	o dʒaka ʔar
zarate	zar ate
kija	kija
kotɨ	kotɨ
watekotɨ	watekotɨ
nipẽrehe	nipẽ rehe
dizeraʔenawe	dize ra ʔe nawe
ozoka	o zo ka
ikotɨŋ	i kotɨŋ
duʔauhu	du ʔa uhu
deradʒɨr	de radʒɨr
ekuʔi	e kuʔi
oʔureʔeɲ	oʔur eʔe ɲ
pekuar	pe kuar
wane	wane
wai	wai
tazepir	ta ze pir
pasiʔɨrehedʒira	pa si ʔɨ rehedʒira
tɨkadɨr	tɨ kadɨr
zapuru	zapu ru
ozikamãʔẽ	ozika mãʔẽ
ibaʔeraɨo	ibaʔeraɨ o
depe	de pe
oibarehe	oiba rehe
dʒasor	dʒa so r
mais	mais
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	on onan
nanimãʔẽra	nani mãʔẽ ra
dobaʔepakatudʒi	do baʔe pakatu dʒi
aotar	ao tar
ozeɨruʔog	ozeɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨaka õwã
apamaʔewi	apamaʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zotunaʔɨ ɲ ate
nõderapɨdʒam	nõde rapɨdʒa m
amõ	amõ
tapug	ta pug
oanõ	oanõ
eiba	eiba
disimãʔẽɲi	disimãʔẽ ɲi
idʒeenam	idʒe enam
sidʒewɨranam	s idʒe wɨra nam
onaʔaŋtar	o naʔaŋtar
tekoam	teko am
waɨ	waɨ
tamãʔẽpope	tamãʔẽ pope
okaʔarokar	okaʔar okar
demõdate	demõda te
puri	puri
zaikonam	zaiko nam
erapɨdʒape	e rapɨdʒa pe
aporoekar	aporoekar
oapɨgeʔeo	oapɨg eʔe o
nõderapɨdʒapope	nõde rapɨdʒa pope
ozaʔogoŋ	o za ʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔe koma raikʷara r upawəra rehe ʔe
baʔe	baʔe
oapɨgo	oapɨg o
nõdutari	nõdu tari
bodʒuhukomãhã	bodʒ uhu komãhã
baʔekom	baʔe kom
ererekʷar	ererekʷar
peotar	peotar
nõdeapisitanẽ	nõde apisi tanẽ
apamaʔesiparate	apamaʔe siparate
airuɲmãʔẽ	airuɲmãʔẽ
dzewaka	d zewaka
sĩ	sĩ
sikədʒi	sikədʒi
nõderaɨhɨpadʒira	nõ deraɨhɨpadʒi ra
edʒɨawe	edʒɨ awe
azewirtar	aze wir tar
eakã	eakã
ba	ba
