erezaugtanẽpo	ere zaug tanẽpo
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔepɨhɨ ga
matɨsipo	ma tɨ sipo
erepotaneso	erepota ne so
ikotɨ	i kotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	i pope
maziʔog	ma ziʔog
ozemim	oze mi m
ekojaram	e kojara m
ibaridʒate	ib aridʒa te
ʔog	ʔog
opoanba	o poanba
zomãʔẽnanhar	zo mãʔẽ nanhar
derapɨdʒ	de rapɨdʒ
erenũpã	ere nũpã
otui	o tu i
pegotɨ	pe gotɨ
sipaʔam	si paʔa m
tepedʒapɨakaõwã	tepe dʒapɨaka õwã
tapiʔirarehe	ta piʔir arehe
odʒapɨakamãʔẽ	o dʒapɨaka mãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽʔe
iawu	i awu
oʔararehe	o ʔara rehe
apotar	a potar
sə	sə
dokte	do k te
nãsĩʔõ	nã sĩ ʔõ
tuʔum	tu ʔu m
zetɨg	ze tɨ g
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	tere sĩ
zapɨhɨpa	za pɨhɨ pa
nõde	nõ de
imõdo	i mõdo
iwɨb	iwɨ b
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	ok urukag arupi
aʔereiba	aʔe r eiba
datikatu	da ti katu
eibawe	e iba we
kaʔi	ka ʔi
itawa	ita wa
ipurite	ipuri te
iawuŋ	i awu ŋ
aʔepori	aʔe pori
orekʷar	o rekʷar
wɨɲanẽ	wɨɲa nẽ
zokarakurikom	zoka rakuri kom
pɨanamara	pɨ anam ara
amãʔẽ	a mãʔẽ
aiɲuŋokar	aiɲuŋo kar
odʒakaʔar	odʒaka ʔar
zarate	zar ate
kija	k ija
kotɨ	kotɨ
watekotɨ	wateko tɨ
nipẽrehe	ni pẽ rehe
dizeraʔenawe	di zeraʔe nawe
ozoka	o zo ka
ikotɨŋ	i kotɨ ŋ
duʔauhu	du ʔa uhu
deradʒɨr	de ra dʒɨr
ekuʔi	e kuʔi
oʔureʔeɲ	oʔur eʔe ɲ
pekuar	pe kuar
wane	wa ne
wai	wa i
tazepir	taze pir
pasiʔɨrehedʒira	pasiʔɨ rehe dʒira
tɨkadɨr	tɨka dɨ r
zapuru	zapu r u
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	iba ʔeraɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒa sor
mais	ma is
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	ono nan
nanimãʔẽra	nani mãʔẽ ra
dobaʔepakatudʒi	do baʔe pakatudʒi
aotar	a o tar
ozeɨruʔog	oze ɨru ʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨaka õwã
apamaʔewi	apama ʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zo tunaʔɨɲa te
nõderapɨdʒam	nõde rapɨdʒ am
amõ	a mõ
tapug	ta pu g
oanõ	oa n õ
eiba	e iba
disimãʔẽɲi	disi mãʔẽ ɲi
idʒeenam	idʒ e enam
sidʒewɨranam	sidʒe wɨra nam
onaʔaŋtar	ona ʔaŋ tar
tekoam	teko am
waɨ	wa ɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	oka ʔar okar
demõdate	de mõd ate
puri	pur i
zaikonam	za iko nam
erapɨdʒape	e rapɨdʒ ape
aporoekar	aporo ekar
oapɨgeʔeo	o apɨ geʔeo
nõderapɨdʒapope	nõde rapɨdʒ apope
ozaʔogoŋ	o zaʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔekomaraikʷara rupawəra reheʔe
baʔe	baʔe
oapɨgo	o apɨ go
nõdutari	nõ du tari
bodʒuhukomãhã	bodʒuhu komãhã
baʔekom	baʔe kom
ererekʷar	ere rekʷar
peotar	pe o tar
nõdeapisitanẽ	nõde apisit anẽ
apamaʔesiparate	apama ʔesipar ate
airuɲmãʔẽ	a iruɲ mãʔẽ
dzewaka	dze wa ka
sĩ	sĩ
sikədʒi	sikə dʒi
nõderaɨhɨpadʒira	nõde raɨhɨpadʒi ra
edʒɨawe	edʒɨ a we
azewirtar	aze wir tar
eakã	e akã
ba	ba
