erezaugtanẽpo	ere zaugtanẽpo
zomãʔẽnanhar	zo mãʔẽnanhar
derapɨdʒ	de rapɨdʒ
erenũpã	e re nũpã
otui	o tu i
pegotɨ	pe gotɨ
sipaʔam	si paʔam
tepedʒapɨakaõwã	tepe dʒapɨaka õwã
tapiʔirarehe	ta piʔi rarehe
odʒapɨakamãʔẽ	o dʒapɨaka mãʔẽ
dokuwadʒi	do kuwa dʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽʔe
iawu	i awu
oʔararehe	o ʔara rehe
apotar	a potar
sə	sə
dokte	do k te
nãsĩʔõ	nã sĩʔõ
tuʔum	tuʔu m
zetɨg	ze tɨ g
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	tere sĩ
zapɨhɨpa	za pɨhɨpa
nõde	nõ de
imõdo	i mõdo
iwɨb	i wɨb
kukupope	ku ku pope
adʒu	a dʒu
okurukagarupi	o kurukag arupi
aʔereiba	aʔe reiba
datikatu	dati katu
eibawe	e iba we
kaʔi	ka ʔi
itawa	i ta wa
ipurite	ipuri te
iawuŋ	i awu ŋ
aʔepori	aʔe pori
orekʷar	o rekʷar
wɨɲanẽ	wɨɲa nẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨanam ara
amãʔẽ	a mãʔẽ
aiɲuŋokar	a iɲuŋoka r
odʒakaʔar	o dʒaka ʔar
zarate	zara te
kija	kija
kotɨ	kotɨ
watekotɨ	wate kotɨ
nipẽrehe	nipẽ rehe
dizeraʔenawe	di zeraʔe nawe
ozoka	o zoka
ikotɨŋ	i kotɨŋ
duʔauhu	du ʔauhu
deradʒɨr	de radʒ ɨr
ekuʔi	e kuʔi
oʔureʔeɲ	o ʔur eʔeɲ
pekuar	pe ku ar
wane	wane
wai	wa i
tazepir	ta zepir
pasiʔɨrehedʒira	pasiʔɨrehe dʒi ra
tɨkadɨr	tɨka dɨ r
zapuru	za puru
ozikamãʔẽ	o zika mãʔẽ
ibaʔeraɨo	i baʔeraɨ o
depe	de pe
oibarehe	o iba rehe
dʒasor	dʒa so r
mais	ma is
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	o n onan
nanimãʔẽra	nani mãʔẽra
dobaʔepakatudʒi	do baʔepakatu dʒi
aotar	a otar
ozeɨruʔog	oze ɨruʔog
ozewa	oze wa
sidʒapɨakaõwã	si dʒapɨaka õwã
apamaʔewi	apamaʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zo tunaʔɨɲ ate
nõderapɨdʒam	nõde rapɨdʒ am
amõ	a mõ
tapug	ta pu g
oanõ	o a nõ
eiba	e iba
disimãʔẽɲi	disi mãʔẽ ɲi
idʒeenam	idʒe enam
sidʒewɨranam	si dʒewɨra nam
onaʔaŋtar	o na ʔaŋtar
tekoam	teko am
waɨ	wa ɨ
tamãʔẽpope	ta mãʔẽ pope
okaʔarokar	okaʔar okar
demõdate	demõda te
puri	puri
zaikonam	za iko nam
erapɨdʒape	e rapɨdʒ ape
aporoekar	aporo ekar
oapɨgeʔeo	o apɨg eʔeo
nõderapɨdʒapope	nõde rapɨdʒa pope
ozaʔogoŋ	o zaʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔekomaraikʷara rupawəra reheʔe
baʔe	baʔe
oapɨgo	o apɨg o
nõdutari	nõ du tari
bodʒuhukomãhã	bodʒuhukom ãhã
baʔekom	baʔe kom
ererekʷar	ere rekʷar
peotar	pe otar
nõdeapisitanẽ	nõde apisita nẽ
apamaʔesiparate	apamaʔe sipar ate
airuɲmãʔẽ	a iruɲ mãʔẽ
dzewaka	dzewak a
sĩ	sĩ
sikədʒi	sikədʒi
nõderaɨhɨpadʒira	nõde raɨhɨpadʒi ra
edʒɨawe	e dʒɨ awe
azewirtar	aze wi rtar
eakã	eakã
ba	ba
